Boston, New York, USA	42.6289858 -78.7376213
Miyazu, Kyoto, Japan	35.5815605 135.199274
887 West Marietta St NW, Atlanta, GA 30318	33.78252087755102 -84.41694440816326
Viroqua, Wisconsin, USA	43.5569174 -90.8887413
Ocean Paradise, Cox's Bazar, Bangladesh	21.41827405 91.98246698920971
St. Andrew, Jamaica	18.0539564 -76.76197426035179
Bluefields, Nicaragua	12.0131543 -83.764907
Normandy Park, Washington, USA	47.4351528 -122.339601
Batman, Turkey	37.7874104 41.2573924
New Portland, Maine, USA	44.884224 -70.0967304
Hummel Park	41.36933725 -95.95846597989963
Southern Alps, New Zealand	-43.9649295 169.5863321
Riverton, Utah, USA	40.5179761 -111.9393701
Fremont, Nebraska, USA	41.4338363 -96.4960449
Les Paluds de Noves, Noves, France	43.8322612 4.9032771
Dehesa de la Villa, Madrid, Spain	40.4578847 -3.7207685311529057
Stanhope, New Jersey, USA	40.9028765 -74.7090517
North Avoca, New South Wales, Australia	-33.4566667 151.4344444
Monte Nido, California, USA	34.0808401 -118.6870309
Nanjangudu, Karnataka, India	11.9437998 76.9180582
Vallclara, Tarragona, Spain	41.3774766 0.982585
Winchester, Indiana, USA	40.1719892 -84.9813549
Uppsala, Uppsala l�n, Sweden	59.809926 17.6377446
Goshen, Utah, USA	39.9530088 -111.9007716
Tauplitz, Steiermark, Austria	47.5607088 14.0120625
Treviso, Veneto, Italy	45.806691349999994 12.206315763116372
Northern Alaska, Alaska, USA	64.87863265 -147.8783678902547
Sarepta, Louisiana, USA	32.8929177 -93.4485059
Jugiong, New South Wales, Australia	-34.822584 148.3255071
Markermeer, Netherlands	52.54618255 5.242848043557009
Sainte-Mondane, Dordogne, France	44.8453145 1.3363947
Cabot, Vermont, USA	44.4028778 -72.3104466
Carrolton, Mississippi, USA	34.979117 -90.0294
La Hulpe, Wallonia, Belgium	50.7313729 4.4893987
Conshohocken, Pennsylvania, USA	40.0792766 -75.3015714
Stony Stratford, UK	52.05532125 -0.8490053705296385
Glen Waverley, Victoria, Australia	-37.879667749999996 145.16291624893952
Bolivar Peninsula, Texas, USA	29.4782878 -94.5799145
Stenay, Meuse, France	49.4916388 5.1883537
Kuortane, Finland	62.8069625 23.5069225
Oakland Charter Township, Michigan, USA	42.754860699999995 -83.15655729663453
Montbron, Charente, France	45.673151250000004 0.4968543882892566
Hellas, Athens	37.9839412 23.7283052
Morrow, Georgia, USA	33.5831662 -84.3393683
Denver, USA	39.7392364 -104.9848623
Niobrara county, Wyoming, USA	43.0087581 -104.4565524
Arkansas River Bridge, Arkansas, USA	34.7905849 -92.3631277
Place de la Visitation, Monaco-Ville, Monaco	43.7315617 7.4254265
Walton Airport, Lahore, Pakistan	31.4911676 74.3494171
La Grand-Combe, Gard, France	44.2102417 4.0294228
Nitzanim, Israel	31.7168321 34.634187
La Treille, Alpes-de-Haute-Provence, France	44.1505298 5.9914276
Suntec City, Singapore	1.2946918 103.8591583
Qalandia, Palestine	31.8621546 35.2284792
176 St Nicholas Ave, Brooklyn, NY 11237	40.70406485 -73.91621383866075
Hickory, North Carolina, USA	35.7333312 -81.3442915
Bastrop State Park, Texas, USA	30.1144569 -97.26063323220428
Aspermont, Texas, USA	33.1382394 -100.2287153
Wuzhen, Zhejiang, China	30.7464875 120.4819022
Erdberg, Vienna, Austria	48.1914136 16.4141569
Tuscola, Texas, USA	32.211386000000005 -99.79990930329724
Snowdoun, Alabama, USA	32.2415309 -86.2963562
Idaho, USA	43.6447642 -114.015407
Owasso, Oklahoma, USA	36.2659698 -95.8548557
Ahaggar Mountains, Algeria	23.284083 5.5320051
Tsuruoka, Yamagata, Japan	38.7272187 139.8266292
Ural, Bashkortostan, Russia	54.394493 56.240589
Pearlington, Mississippi, USA	30.2458635 -89.5972035515303
205 N Michigan Ave Chicago, Illinois, USA	41.886053 -87.6237653
Plummer, Idaho, USA	47.3351803 -116.888509
Hatboro, Pennsylvania, USA	40.1746252 -75.106825
Nochistlan, Zacatecas, Mexico	21.436113 -102.82726618174516
Rincon Mountains, Arizona, USA	32.1684098 -110.4128539
Clonmel, Tipperary, Ireland	52.355 -7.703889
Baja California, Mexico	30.0338923 -115.1425107
Sandstone, Minnesota, USA	46.1310598 -92.8674231
Aries, France	44.2464402 1.5855431
Bagan, Burma	21.1317111 94.8623644
Isandlwana, KwaZulu-Natal, South Africa	-28.3541707 30.6529494
Metaline Falls, Washington, USA	48.8636212 -117.3718881
Breuillet, Essonne, France	48.5668797 2.1729461
Ludhiana, Punjab, India	30.9090157 75.851601
Harstine Island	47.23218155 -122.89004021851417
Blue Lake, California, USA	40.882907 -123.983949
New York, New York City, USA	40.76639995 -73.7738780089654
Tumen, Jilin, China	42.9653277 129.8365626
Alpes Maritimes, Alps, Italy	43.584961 7.047104794736842
Forth and Clyde Canal, Scotland, UK	55.9477726 -4.1309733
Monaco, France	47.9965406 5.5307301
West Harrison, New York, USA	41.04306735 -73.74790193583388
Great Australian Bight, South Australia, Australia	-31.6566532 129.54825224850737
Salt Rock, KwaZulu-Natal, South Africa	-29.502072 31.237079
Fontainebleau, Seine-et-Marne, France	48.4049375 2.7015872
Blue Ridge Summit, Pennsylvania, USA	39.7242616 -77.4713782
Huamachuco, La Libertad, Peru	-7.8154676 -78.0487063
Bludenz, Vorarlberg, Austria	47.153037 9.8219314
Armada, Michigan, USA	42.8441964 -82.8843722
Liebenwalde, Brandenburg, Germany	52.8726482 13.3943575
Gnaw Bone, Indiana, USA	39.1908831 -86.1555471
Taft, California, USA	35.1424671 -119.4565078
Mercedes, Texas, USA	26.1497977 -97.9136112
Zillmere, Queensland, Australia	-27.3587634 153.0376968
Wijint, Peru	-3.1995472 -77.065255
Frauenfeld, Switzerland	47.5561915 8.8963347
Spring Valley, Jamaica	18.1662003 -76.5959072
East Mayport, Florida, USA	30.3796849 -81.4070302
Xenia, Ohio, USA	39.6847822 -83.9296526
Henley-on-Thames, Oxfordshire, UK	51.5375786 -0.9050287
Melaka, Malaysia	2.3293744 102.2880962
Le Palais, Morbihan, France	47.3470611 -3.1548668
Alhama de Murcia, Murcia, Spain	37.8515145 -1.4251045
Kiberg, Norway	70.2868638 30.9975698
Mangalore, Karnataka, India	12.8698101 74.8430082
Harshaw, Wisconsin, USA	45.6655138 -89.6554181
Samana, Dominican Republic	19.2648113 -69.4930017
Peacham, Vermont, USA	44.3284703 -72.1703611
Jindo Island, South Korea	34.469967499999996 126.29237098332256
Shaolin Monastery, Henan, China	34.50802005 112.93538748980575
Lakeland, Florida, USA	28.0394654 -81.9498042
1605 Munro, Buenos Aires, Argentina	-34.528260870689664 -58.521587556410225
Magee, Mississippi, USA	31.8737712 -89.7336852
Nachi, Japan	33.6439866 135.9366497
Lettonia, Latvia	56.8406494 24.7537645
Route de la Surie, Yvelines, France	48.7822472 1.7604947
Soprabolzano, Trentino-Alto Adige, Italy	46.5295495 11.4063468
Socoroma, Chile	-18.2657277 -69.6021068
Jefferson, New Hampshire, USA	44.419069 -71.474991
Calle della Madonna, Venice, Italy	45.3724757 12.3393542
Todenhausen, Germany	50.9256651 8.7055773
Westmeath, Ireland	53.5577902 -7.3478558260097575
Port Jervis, New York, USA	41.3750937 -74.692663
Licking Township, Pennsylvania, USA	41.133117999999996 -79.5532754001607
Revere Beach, Massachusetts, USA	42.418793949999994 -70.98641828035441
Pamukkale, Turkey	37.92447225 29.119010193161458
St.Albert, Alberta, Canada	53.633239 -113.628845
Bloomingburg, New York, USA	41.55544365 -74.44309940779489
Immenhausen, Hessen, Germany	51.4276006 9.4809136
Carbondale, Illinois, USA	37.7274692 -89.216655
Outer Harbor, South Australia, Australia	-34.7727146 138.4981585
Gualdo Tadino, Italy	43.2316518 12.7809617
Deutsches Theater, Berlin, Germany	52.5243546 13.3819066
Forte di Pietole, Mantova, Italy	45.1305964 10.8130951
Kemnath, Bavaria, Germany	49.8709368 11.8893652
Woodhill, Auckland, New Zealand	-36.53179865 174.2165794242133
Tres Cantos, Madrid, Spain	40.6065826 -3.7065333
Mons, Hainaut, Belgium	50.4549568 3.951958
Brimbal, Massachusetts, USA	42.5758927 -70.879747
County Fermanagh, Northern Ireland, UK	54.361874650000004 -7.65671064264496
Oostelbeers, Noord-Brabant, Netherlands	51.4726547 5.2687554
Samar Island, Philippines	11.798221850000001 125.16904177391692
Pau D'alho, Pernambuco, Brazil	-7.8931649 -35.1790821
Ophir, Colorado, USA	37.8569392 -107.8325644
Repora, Prague, Czech Republic	50.0389702 14.3080377
Walpi, Arizona, USA	35.8324679 -110.398066
Studio Banana, Madrid, Spain	40.420446 -3.7038239
Colonial Heights, Virginia, USA	37.2555718 -77.4112016
North Sutton, New Hampshire, USA	43.3639646 -71.9395269
Noyers-sur-Serein, Yonne, France	47.70189975 3.997807955501011
Hotel Jugoslavija - Bulevar Nikole Tesle 3, Belgrade, Serbia	44.82987515 20.420334000697338
Chapter House, Bristol, UK	51.4582751 -2.5954169138644283
Dunthorpe, Oregon, USA	45.4356748 -122.6550941
Maldonado, Uruguay	-34.9087162 -54.9582718
North Pacific, Pacific Ocean	34.42027245 -119.87880494488634
Gmunden, Upper Austria, Austria	47.9185855 13.8003048
Tirebolu, Giresun, Turkey	40.91779665 38.87046906747396
Hampton, Georgia, USA	33.3870578 -84.2829784
West Boylston, Massachusetts, USA	42.3678171 -71.7862707
Gournay-sur-Aronde, Oise, France	49.4929729 2.6758822
Traverse City, Michigan, USA	44.7606441 -85.6165301
Decker, Michigan, USA	43.4589093 -83.0507754
Hudson County, New Jersey, USA	40.7381635 -74.0550731
Eculleville, Manche, France	49.68270495 -1.8244522412420925
County Kildare, Dublin, Ireland	53.34109775 -6.254485944347109
Villeneuve-sur-Verberie, Oise, France	49.2746027 2.6902784
Zagreb Airport, Zagreb, Croatia	45.74027185 16.07231616098094
Yading Daocheng	28.4577693 100.3388197
GPME Studios	5.3925454 -3.9959509
Bungal, Victoria , Australia	-37.7034835 144.1476348985704
Algonquin Park, Ontario, Canada	45.65713555 -78.49953864045284
East Cape Lighthouse, New Zealand	-37.68883 178.54816
Swan's Island, Maine, USA	44.145082 -68.4516861
Tumut, NSW, Australia	-35.3015747 148.2226744
English Theater, Hamburg, Germany	53.5694504 10.0288753
Muscat, Oman	23.5907634 58.44600501458025
Balaoan, La Union, Philippines	16.8208293 120.4025861
Cornell, California, USA	34.1145215 -118.7778455
Whitechapel, London, UK	51.5186227 -0.0620807
Lafayette, New Jersey, USA	41.0984301 -74.6884965
Vatican, Rome, Italy	41.8948385 12.5842085
4608 26th Ave NE Seattle, WA	47.6620039 -122.2997053
Iwno, Wielkopolskie, Poland	52.4040603 17.2724117
Schanzenstrasse 22, Cologne, Germany	50.9672258 7.0106573
Hedrehely, Hungary	46.1961701 17.6523079
Bellville, Ohio, USA	40.6201798 -82.5112483
La Vista, Nebraska, USA	41.1832679 -96.0324044
Loni, India	19.5821138 74.4709449
Mableton, Georgia, USA	33.8177127 -84.5756432
Skanderborg, Jylland, Denmark	56.0351868 9.9317878
Lwanda, Uganda	-0.2520238 31.8023116
Midi , France	48.7601025 7.2583323
Groveland, California, USA	37.8382608 -120.2326894
Utsjoki, Finland	69.907601 27.0252458
Kongsvinger, Norway	60.1899109 12.216023065279844
Carencro, Louisiana, USA	30.317144 -92.0490096
Leoncin, Mazowieckie, Poland	52.3936382 20.534073
Tullamore, County Offaly, Ireland	53.2743191 -7.4928384
2021 14th Street Northwest, Washington D.C., USA	38.9178586 -77.0316798
Bagshot, Victoria, Australia	-36.652848 144.39275026999468
Cirilometodska Street, Zagreb, Croatia	45.8153554 15.9734607
Grand Hotel, Berlin, Germany	52.5159475 13.3888482
Waitangi, Chathams Islands	-43.912704950000006 -176.47502902781758
Burlington, Washington, USA	48.4738136 -122.3304539
Zhigulyovsk, Russia	53.411585450000004 49.48265658449306
50 Rosebrook Place Wareham, Massachusetts, USA	41.7753426 -70.73659962699456
Chalkis, Greece	36.4536526 28.2195723
National Theater, Belgrade, Serbia	44.8169855 20.46084930746812
Woodstock, Connecticut, USA	41.9484307 -71.9739626
Herborn, Hessen, Germany	50.6832181 8.3031361
Echteld, Gelderland, Netherlands	51.9093134 5.4989961
Popenguine, Senegal	14.5591342 -17.1140053
Athol, Massachusetts, USA	42.5797194 -72.2159994
Weott, California, USA	40.3214878 -123.9226034
Eliot, Maine, USA	43.1531421 -70.8000557
Sikasso, Mali	11.482629 -6.860785462633452
Milford, Indiana USA	41.4097696 -85.8455482
Wuhan, Hubei, China	30.5951051 114.2999353
Nova Veneza, Santa Catarina, Brazil	-28.637371 -49.4997634
Warstein, North Rhine-Westphalia, Germany	51.4458105 8.3536824
Rio Branco, Brasil	-9.9765362 -67.8220778
Tin-Tazarift, Algeria	24.6765799 9.6979451
Rolde, Drente, Netherlands	52.98438 6.64876
Lac Pelletier, Saskatchewan, Canada	49.9873105 -107.93456784308134
Gardermoen, Oslo, Norway	60.19786535 11.09967535417638
Muurame, Finland	62.1289925 25.6749474
Entre-os-Rios, Portugal	41.0852465 -8.2934355
Crandon, Wisconsin, USA	45.571907 -88.902892
Fort Rinella, Malta	35.8937862 14.5314719
Waterloo, Indiana, USA	41.431132000000005 -85.02064114796906
Plitvice Lakes National Park, Croatia	44.8595404 15.6507547
Jackson Street W., Hamilton ON	43.2562454 -79.8773084
Rainbow, California, USA	37.7485939 -119.0583463
Phenix, Missouri, USA	37.3786566 -93.5457553
Girifalco, Italy	38.8233552 16.4263838
Montreuil-sur-Epte, Val-d'Oise, France	49.1768421 1.6765982
Brush Creek, Tennessee, USA	36.2376665 -87.053234
Rasnov, Romania	45.5909577 25.4655999
Dalton, Pennsylvania, USA	41.5342441 -75.7360253
Seebe, Alberta, Canada	51.1031469 -115.0442515
Greenfield, Missouri, USA	37.4153244 -93.8410449
Sheridan Lake, Colorado, USA	38.4669515 -102.29187968365284
Hope Valley, California, USA	33.9422984 -117.2024713
Athens, Texas, USA	32.2044416 -95.854914
Little Rock, California, USA	41.836800249999996 -124.37616965504296
LA, California, USA	38.0027007 -121.2502241
Little Silver, New Jersey, USA	40.3367769 -74.0470837
Sindh, Pakistan	25.5 69.0
Budajeno, Hungary	47.555673 18.8038041
Nevada City, California, USA	39.2615606 -121.0160594
502 Grayson Pkwy Grayson, Georgia, USA	33.89259088888889 -83.95899244444443
Fort Stevens State Park, Oregon, USA	46.199456600000005 -123.98071740065137
Williamtown, New South Wales, Australia	-32.815 151.8427778
Tucheim, Saxony-Anhalt, Germany	52.2888673 12.1822496
Enumclaw, Washington, USA	47.2047793 -121.9916371
Lihula, Estonia	58.68505075 23.82875662564642
Huntington Station, New York, USA	40.84766075 -73.40388309389265
Simsbury, Connecticut, USA	41.8759152 -72.8012211
Kingswood House	51.430479950000006 -0.08169204172798328
Dunellen, New Jersey, USA	40.5892696 -74.4718201
Borley, Essex, UK	52.055484 0.6922172
Freycinet, Tasmania, Australia	-42.2000008 148.3000031
Stedelijk Museum, Amsterdam, Netherlands	52.3579003 4.879859824562511
Calle Amparo 27, Madrid, Spain	40.4592734 -3.8036509
Eufaula, Oklahoma, USA	35.2873206 -95.5824846
New Liskeard, Ontario, Canada	47.508731 -79.6789029
Peel Region, Ontario, Canada	43.745865 -79.7962296
The Hague, Netherlands	52.0799838 4.3113461
Las Vegas. Nevada, USA	36.1672559 -115.148516
Blarney, County Cork, Ireland	51.9327019 -8.5679416
Sociedade de Geografia, Lisboa, Portugal	38.7166105 -9.1407571
Tarutino, Russia	56.9748379 29.4503381
Martinlaakso, Vantaa, Finland	60.2804126 24.845803
Custer County, Nebraska, USA	41.4022198 -99.7272241
Horizon Drive, Chung Hom Kok, Hong Kong	22.2196663 114.2029743
Aarschot, Belgium	50.98550925 4.833748006923628
Signes, Var, France	43.2908597 5.8636703
Newrybar, New South Wales, Australia	-28.715 153.5344444
Port Canaveral, Florida, USA	28.4161139 -80.6078289
Birkenhead Lake Provincial Park, British Columbia, Canada	50.5698773 -122.75162155256825
Rostov-on-Don, Russia	47.2213858 39.7114196
Anahiem, California, USA	33.86620805 -117.74933332026752
Fier, Albania	40.7251118 19.5582079
Wendland, Lower Saxony, Germany	52.8743508 8.478498569633903
Rainier, Alberta, Canada	50.3662314 -112.1062265
Altadena, California, USA	34.1863161 -118.1352329
Kleinmachnow, Brandenburg, Germany	52.4064167 13.2236601
Athis-de-l'Orne, Orne, France	48.8102537 -0.5007676
Helsingin Kaupunginmuseo, Helsinki, Finland	60.1687535 24.9539174
Porter Ranch, California, USA	34.2818164 -118.5612714
Hadres, lower Austria, Austria	48.7089619 16.135164320462255
Sulu, Mindanao, Philippines	5.9942808 121.0787926
Romodan, Ukraine	49.9923481 33.3207607
Kjalarnes, Iceland	64.24450355 -21.769263572151285
Vinci, Tuscany, Italy	43.7873966 10.9271055
Toyah, Texas, USA	31.3147652 -103.7931639
Bielawa, Dolnoslaskie, Poland	50.675389800000005 16.607192643781275
Najafgarh, New Delhi, India	28.630004749999998 77.07611088888893
San Cristobal, Dominican Republic	18.5200904 -70.2076771
Mullem, Belgium	50.8964155 3.6039655
Odessa Film Studio, Odessa, Ukraine	46.4594718 30.75727611796505
Kerem Shalom, Israel	31.2277096 34.2839544
General Hughes St. Iloilo City	10.689812400000001 122.57637005696202
Jankalyan Nagar, Mumbai, India	19.1068579 72.8671624
Nervesa della Battaglia, Veneto, Italy	45.8253685 12.2092015
Slatington, Pennsylvania, USA	40.7484285 -75.6118529
Rua de Santa Cruz do Castelo, Lisbon, Portugal	38.7129572 -9.1327533
Airport, Hong Kong, China	22.3160874 113.93647839996052
Peterhead, South Australia, Australia	-34.8312056 138.4999257
Fields Near Upper Froyle, Hampshire, UK	51.1893393 -0.9122315
Viby J, Jylland, Denmark	56.1290327 10.1624334
Marbach an der Donau, Austria	48.2142911 15.1508476
Albany, Missouri, USA	40.2486069 -94.331068
Kinshasa, Democratic Republic Of Congo	-4.3224522 15.269959
Poolesville, Maryland, USA	39.1459732 -77.4118674
Dominion, Nova Scotia, Canada	46.2102656 -60.0240061
Wind River Reservation. Wyoming, USA	43.305285999999995 -108.80803243997423
Schodack, New York, USA	42.5302285 -73.68083538797035
Baltimore City, Maryland, USA	39.3053485 -76.6990587
Shipley, England, UK	53.8321814 -1.7779777
Wickersham, Washington, USA	48.6541263 -122.2111118
Baie Lazare, Seychelles	-4.7526077 55.4811946
Alliance, Nebraska, USA	42.0971897 -102.8707145
3 Calle de la Batalla del Salado, Madrid, Spain	40.4020104 -3.6960311
Stampersgat, Noord-Brabant, Netherlands	51.6135113 4.4429316
Bunnell, Florida, USA	29.4657731 -81.2576832
�ter�, Plzen District, Czech Republic	50.301066 12.5598061
Leinsweiler, Rhineland-Palatinate, Germany	49.1825066 8.0204907
Urussanga, Santa Catarina, Brazil	-28.5191381 -49.3201776
West Philadelphia, Pennsylvania, USA	39.95986705 -75.2177753695948
Altena, Germany	51.2990263 7.6734841
A20, Rostock, Germany	54.15325755 11.902160108371243
Hollister, Missouri, USA	36.6241837 -93.2179913
Solitaire, Namibia	-23.8938816 16.0050094
Beauce, France	48.3390316 -1.1555522
Dhaka Medical College Hospital, Dhaka, Bangladesh	23.72581265 90.39782450784448
Natal, British Columbia, Canada	49.7333374 -114.8500044
Marianka, Slovakia	48.2477922 17.0577765
Two Rivers, Alaska, USA	64.89556150000001 -147.08052056252663
Bosco, Louisiana, USA	32.2901506 -92.0890239
Fengjie, China	31.0232647 109.4056235
Virginia Key, Florida, USA	25.7449289 -80.1458679
Brier Island, Nova Scotia, Canada	44.2587824 -66.36487773460253
Waimate, Canterbury, New Zealand	-44.7338811 171.042339
Grandview, Texas, USA	32.2666506 -97.1785429
Santiago de Cali, Valle del Cauca, Colombia	3.4517923 -76.5324943
Tierra blanca, Durango, Mexico	25.229323 -104.5737116
Russellville, Alabama, USA	34.5068228 -87.7290264
Keystone, West Virginia, USA	37.4148369 -81.450937
Bruck an der Leitha, Lower Austria, Austria	48.030394799999996 16.75801830741043
Greenbank Street, Preston, UK	53.7683722 -2.7141895
Mariana, Minas Gerais, Brazil	-20.3781468 -43.4174862
Loreauville, Louisiana, USA	30.0565906 -91.7370595
Bergen-Belsen, Niedersachsen, Germany	52.7580569 9.9117992
Assistens Cemetery, Copenhagen, Denmark	55.69092475 12.549444322158436
Lapinlahti, Finland	63.3638712 27.3984804
Muntenia, Romania	44.7083549 25.8887852
Alton, Texas, USA	26.2871257 -98.3137779
Tihany, Hungary	46.9122292 17.8917574
Babylon Kino, Berlin, Germany	52.5258984 13.4114358
Chinle, Arizona, USA	36.150143400000005 -109.56706853699023
Conwy, Wales, UK	53.1460931 -3.759920155777771
Rushville, Illinois, USA	40.1211577 -90.5631829
Roarsvej 15, Frederiksberg, Denmark	55.684417 12.535631
Chicago Park District, USA	41.8924087 -87.6198259
Christiansburg, Virginia, USA	37.1298517 -80.4089389
Sachsenring, Germany	50.7328604 12.47510478840264
Langendorf, Lower Saxony, Germany	53.088507750000005 11.2583880523215
Hauzenberg, Bavaria, Germany	48.6551971 13.6276784
Sabah, Malaysia	5.4257359 117.0326392
Brooklyn, NY, USA	40.6526006 -73.9497211
Malnate, Italy	45.8000916 8.8781675
Temecula, California, USA	33.4946353 -117.1473661
Step Pyramid, Saqqara, Egypt	29.86622935 31.21362413252004
New-Brunswick, Canada	46.500283 -66.750183
Bergslagen	60.0978842 17.9489243
Kabul, Afghanistan	34.5260109 69.1776838
Androscoggin County, Maine, USA	44.1402839 -70.196395
Ramat Yisrael, Tel Aviv, Israel	32.0681284 34.8007526
2350 Fox Rd. Santa Fe, New Mexico, USA	35.6547252 -106.00414786092071
Village Cholobargi, Georgia	42.0851 42.1271195
Stryj, Poland	51.7678403 21.9571187
Steigen, Nordland, Norway	67.85358364999999 14.801708305766667
Santarem, Portugal	39.2363637 -8.6867081
Elfin Forest, California, USA	33.0736526 -117.1642007
Saskatchewan Lake, Ontario, Canada	45.131585 -78.77793262415254
Savoie, France	45.494895150000005 6.384660381375652
Albert Lea, Minnesota, USA	43.6480127 -93.3682656
Fair Lawn, New Jersey, USA	40.9397796 -74.1312504
Honey Grove, Texas, USA	33.5834377 -95.9099681
Ivy Bar, Wellington, New Zealand	-41.2910611 174.7771676
Milford, Pennsylvania, USA	41.322316 -74.8023882
Ishikari, Hokkaido, Japan	43.171677 141.3159605
Hallett Cove, South Australia, Australia	-35.0726467 138.5110652
Graysville, Alabama, USA	33.6206611 -86.9713844
Longuesse, Val-d'Oise, France	49.0625454 1.9314848
Cayeux-sur-Mer, Somme, France	50.1792004 1.4933839
Charlotte, Virginia, USA	37.0416273 -78.6523968
10012 New York City, New York, USA	40.72506601489986 -73.99808274267929
Parco Naturale del Mont Avic, Valle d'Aosta, Italy	45.6397665 7.578704927586207
Fargau-Pratjau, Schleswig-Holstein, Germany	54.3259862 10.387958772587758
1016 White Knoll Drive, Los Angeles	34.06977324512292 -118.24662605996937
Chau Doc, An Giang, Vietnam	10.7101815 105.1188675
Pine Island, Florida, USA	28.5717668 -82.65441439018281
Oia, Santorini, Greece	36.4622122 25.3757257
Echo Bay, Ontario, Canada	46.4896698 -84.0657362
Trinidad, Cuba	21.8052055 -79.9845797
Sirsa, Haryana, India	29.583333 75.083333
Bliesgau, Saarland, Germany	49.2052451 7.1774363
Yangon, Myanmar	16.7967129 96.1609916
Alliance, Ohio, USA	40.9153362 -81.1059309
Takarazuka, Hyogo, Japan	34.8659057 135.3257734
Wrens, Georgia, USA	33.2076456 -82.391792
Clackmannanshire, Scotland, UK	56.166395 -3.7513968
Chicago, IL, USA	41.8755616 -87.6244212
Volcano, California, USA	38.4427907 -120.6309635
Hamlet of Whitevale, Ontario, Canada	43.9008232 -79.1852742
Allegheny Mountain, Pennsylvania, USA	40.0179508 -78.8028428
Plitvice, Croatia	45.7750397 15.8792148
Haus der Begegnung, Austria	47.8449928 16.513424385568683
Bondville, Vermont, USA	43.1444127 -72.8783775
Sigacik Village, Izmir, Turkey	38.2012746 26.7863068
Blue Diamond, Nevada, USA	36.0463715 -115.4056336
Bodrum, Turkey	37.0664467 27.484418184610497
Kufstein, Tyrol, Austria	47.582996 12.1692134
Atami, Shizuoka, Japan	35.08992 139.059891
East St. Louis, Illinois, USA	38.6244952 -90.1509429
23 Castillo St. Santa Barbara, California, USA	34.40831965420286 -119.69408889580725
Tipi, Berlin, Germany	52.51839305 13.367163940291022
Oegstgeest, Zuid-Holland, Netherlands	52.1833669 4.472129402976295
Ravalli County, Montana, USA	46.0757223 -114.1139453
Polillo Island, Quezon, Philippines	14.84289445 121.9293024603887
410 N. Varney St. Burbank, California, USA	34.17937963560563 -118.31607539821823
Cinemark Palace 20 - Boca Raton, Florida, USA	26.3767344 -80.11268394466705
Reichelsheim, Hessen, Germany	50.3611717 8.8207006
Jewish Quarter, Jerusalem, Israel	31.7753539 35.2317629
Rutherglen, Scotland, UK	55.8283888 -4.2116533
St. George, South Carolina, USA	33.1859958 -80.5756534
Sevierville, Tennessee, USA	35.8681455 -83.561835
Dorsoduro, Venice, Italy	45.43313225 12.31903382892057
Borken, North Rhine-Westphalia, Germany	51.8443183 6.8582247
Wombeyan Caves, New South Wales, Australia	-34.3084619 149.9688296
Schneverdingen, Lower Saxony, Germany	53.1165973 9.7925898
Shadwell, London, England	51.51125 -0.0569241
Hardeeville, South Carolina, USA	32.2802665 -81.0726108
Perkiomenville, Pennsylvania, USA	40.3242674 -75.4779561
A31, Gronau, Germany	52.2118499 7.0236342
Duntroon, Australian Capital Territory, Australia	-35.297689 149.1664644
Lafleche, Saskatchewan, Canada	49.7036348 -106.57474
Alfonsine, Ravenna, Italy	44.5053847 12.0411805
Vanua Levu, Fiji	-16.5788332 179.1930927246919
Neuenfelde, Hamburg, Germany	53.5182412 9.8079161
Milos Island, Greece	36.70934405 24.506833813253667
Isan district, Thailand	13.7605532 100.5386764
Rockett, Texas, USA	32.4698617 -96.7638844
Rudnice, Czech Republic	50.4255496 14.2616915
Blissfield, Michigan, USA	41.8325487 -83.8624411
Temple of Poseidon, Greece	37.65021165 24.024589857250188
Gruene, Texas, USA	29.7385364 -98.1042673
Garden State of New Jersey, USA	40.1855844 -74.059737
Sparks, Maryland, USA	39.5303908 -76.6458407
Steinhof, Vienna, Austria	48.2153547 16.277859
Mesa Verde National Park, Colorado, USA	37.253776 -108.45559640928934
Maple Glen, Pennsylvania, USA	40.1796275 -75.1822113
Selma, California, USA	36.5707838 -119.6120765
Kintex, Seoul, South Korea	37.6621836 126.7461606
Angono, Rizal, Philippines	14.5262272 121.1526438
Aungier Street, Dublin, Ireland	53.3406712 -6.2656141
Dorsey, Illinois, USA	38.9736574 -90.0014932
Jingxi, China	23.1371896 106.4138603
Ashford, Co Wicklow, Ireland	53.0110876 -6.1083836
Campingplatz Tonsee, Brandenburg, Germany	52.1604258 13.687207001727886
Peak Hill, NSW, Australia	-32.72107 148.19839
Juist, Lower Saxony, Germany	53.6784483 6.9956079
Kundapura	13.734583149999999 74.81557871263212
Markham, Illinois, USA	41.5936453 -87.6947699
Darrow, Louisiana, USA	30.1182542 -90.9853773
Uptown Manhattan, New York City, USA	40.7312761 -74.018575
Rua de Santa Catarina, Porto, Portugal	41.1505101 -8.605527
Mott, North Dakota, USA	46.3726819 -102.3264905
Yalta, Crimea, Ukraine	44.4970713 34.1586871
Corfu, Greece	39.591337 19.859618918733858
Rondo, Spain	43.5152584 -6.5764992
Berlin, Maryland, USA	38.3226154 -75.2176892
Mooringsport, Louisiana, USA	32.6876455 -93.961015
Wildeshauser Geest, Lower Saxony, Germany	52.923461849999995 8.50406863338851
Klickitat County, Washington, USA	45.8767731 -120.7976033
Am Heumarkt 15, Vienna, Austria	48.2015231 16.3802689
Washington, USA	38.8950368 -77.0365427
Uzbekistan	41.32373 63.9528098
